country,Region,Surface.area..km2.,Population.in.thousands..2017.,Population.density..per.km2..2017.,Sex.ratio..m.per.100.f..2017.,GDP..Gross.domestic.product..million.current.US..,GDP.growth.rate..annual....const..2005.prices.,GDP.per.capita..current.US..,Economy..Industry....of.GVA.,Employment..Industry....of.employed.,Employment..Services....of.employed.,Unemployment....of.labour.force.,Labour.force.participation..female.male.pop....,Population.growth.rate..average.annual...,Urban.population....of.total.population.,Urban.population.growth.rate..average.annual...,Fertility.rate..total..live.births.per.woman.,Life.expectancy.at.birth..females.males..years.,Population.age.distribution..0.14...60..years....,International.migrant.stock..000...of.total.pop..,Education..Government.expenditure....of.GDP.,Education..Primary.gross.enrol..ratio..f.m.per.100.pop..,Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..,Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..,totalSmokingRate
Seychelles,EasternAfrica,457,95,206,97.2,1363,6.8,14133.2,13.6,17.9,78.2,4.1,61.9/68.3,0.5,53.9,1.1,2.4,77.9/68.7,22.2/13.3,12.8/13.3,3.6,103.6/101.1,84.5/78.8,19.6/9.3,25.9
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,17.6,6.5,25.5,3.1,65.1/68.8,2.3,39.9,2.7,4.8,50.7/49.6,42.1/4.2,91.2/1.4,2.7,128.2/127.0,40.1/46.5,.../...,36
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,26.4,17,82.6,2,57.8/76.1,1.7,100,2,1.2,84.5/80.1,15.0/19.5,2543.6/45.4,2.9,-99,-99,-99,16.5
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,34.8,34.5,62.2,9.9,51.4/68.0,0.1,53.6,-0.3,1.4,79.8/72.6,15.4/21.8,177.2/3.3,4.2,99.2/100.2,92.8/92.1,64.6/41.8,28.65
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,32.7,29.6,61.5,8.1,51.8/62.2,0.3,49.7,0.1,1.6,83.2/77.2,15.0/26.3,236.0/11.4,5.5,99.4/99.2,110.5/110.8,98.5/68.2,20.2
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,28.9,26.2,67.7,26,46.4/61.1,1.4,64.8,1.6,2.6,63.0/56.1,29.0/8.4,3142.5/5.8,6,97.3/102.2,111.5/88.0,23.3/15.7,18.95
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,23.6,19.2,76.8,18.3,52.1/64.2,-0.2,79.6,0.7,1.3,85.3/79.6,14.7/25.3,5853.0/12.7,4.3,105.6/104.5,129.6/130.0,97.1/82.5,29.2
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,30.7,25.9,46.6,5.2,30.4/75.0,0.5,18.4,0.8,2.1,78.0/71.2,24.0/14.9,38.7/0.2,2.2,100.6/102.7,102.0/97.5,24.0/15.6,14.4
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,42.1,17,61,25.1,40.6/65.1,1.8,21.3,1.3,3.3,58.2/51.6,37.2/4.8,31.6/2.5,7,108.0/117.5,65.8/66.2,5.5/5.2,10.6
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,26.3,18.2,79.9,7.3,60.7/68.0,0.8,85.8,0.8,1.9,83.7/80.0,17.5/25.5,1639.8/16.8,7.7,125.6/120.6,150.0/131.5,75.7/49.6,20.6
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,25.5,20.4,76.1,4.6,62.5/74.5,1.2,73.9,1.1,1.5,84.8/80.5,14.9/24.1,2438.7/29.4,5.1,103.8/104.1,99.4/103.0,58.5/56.9,23.3
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,35.7,22.7,43.3,0.6,62.7/79.8,0.4,50.4,3,1.5,78.4/70.8,17.3/16.9,3913.3/5.8,4.1,99.2/106.1,125.3/132.6,57.3/40.5,21.85
Tonga,Polynesia,747,108,150,100.7,402,3.8,3784.5,21.5,28.2,38.5,4.8,52.9/73.9,0.4,23.7,0.7,3.8,75.6/69.6,35.8/8.5,5.7/5.4,...,107.5/108.6,94.2/86.4,.../...,30.15
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,26.4,27.5,52.9,10.8,30.4/71.4,1.6,73.4,2,2.1,78.1/71.5,25.0/12.0,2964.9/3.8,4.8,102.1/102.8,101.1/103.8,88.3/101.0,25.95
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,21.5,7.4,20.5,2.4,82.3/87.7,3.4,16.1,5.4,5.9,60.7/56.5,47.7/3.3,749.5/1.9,2.2,110.9/108.9,22.1/24.3,4.2/5.4,9.65
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,26.3,24.6,59.7,8.8,52.3/67.5,-0.5,69.7,-0.3,1.5,76.0/66.1,15.5/23.2,4834.9/10.8,5.9,105.1/102.8,98.2/100.2,88.4/76.5,31.7
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,19.4,18.4,80.4,5,57.0/68.6,0.6,82.6,0.9,1.9,82.8/79.0,17.7/23.9,8543.1/13.2,5.7,108.1/108.4,130.4/125.3,64.1/49.0,19.15
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,1,15573.8,28,20.5,70.8,8.8,55.6/76.3,0.3,95.3,0.5,2,80.4/73.2,21.1/19.5,71.8/2.1,4.4,107.3/109.8,100.0/90.3,.../...,23.05
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,2308.3,32.9,23.9,47.1,8.9,48.5/76.6,1.6,36.4,1.4,2.4,73.5/68.1,28.0/7.6,1170.9/3.9,-99,103.2/105.6,95.1/96.8,7.1/11.0,13.1
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,32.3,9.9,35.3,7.4,69.9/80.9,3,40.9,4.3,5.2,61.9/57.5,44.8/3.7,127.9/0.8,...,104.0/103.3,-99,3.4/4.5,15.55
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,30.5,7.3,25.2,5,78.0/87.5,2.3,32.4,2.3,4,59.0/56.1,41.2/4.2,398.9/2.6,8.4,99.1/100.8,47.1/48.1,8.0/8.9,16.65
