country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
Belize,CentralAmerica,22966,375,16.4,99.2,1721,1.2,4789.4,,18.5,,,15.9,67.9,11.5,56.7/83.8,,,,,,,2.2,44,1.9,2.6,72.7/67.2,31.4/6.2,53.9/15.0,,,,,6.4,110.4/115.8,81.8/79.8,28.7/17.9
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,,24.9,,,10.2,46.6,1,70.0/73.4,,,,,,,2.8,44,3.7,5.2,61.4/58.5,42.7/5.0,245.4/2.3,,,,,4.4,123.7/134.2,46.8/66.7,8.4/22.4
Bermuda,NorthernAmerica,53,61,1227,91.4,5853,0.4,94399.9,,5.3,,,10.3,87.6,6.7,72.6/80.0,,,,,,,-0.6,100,0.2,1.5,85.1/77.5,14.8/24.9,19.1/30.8,,,,,1.7,89.4/91.3,75.5/67.7,34.1/14.7
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,5.2,2677.1,,43.9,,,9.7,33.7,2.4,59.4/73.5,,,,,,,1.6,38.6,3.7,2.2,68.9/68.6,26.5/7.3,51.1/6.6,,,,,7.4,96.9/96.6,87.1/81.4,9.2/12.6
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,,31,,,21.1,49.4,3.8,64.1/82.6,,,,,,,1.6,68.5,2.3,3,70.2/65.3,31.6/9.5,143.0/1.3,,,,,7.3,95.7/98.5,85.7/87.1,.../...
"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99,-99,-99,-99,,-99,,,-99,-99,-99,-99,,,,,,,3.2,74.7,2.4,-99,-99,-99,13.0/52.3,,,,,-99,-99,-99,-99
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,,26.5,,,30.4,51.7,25.4,34.3/57.5,,,,,,,-1,39.8,0.1,1.3,78.8/73.7,14.1/23.4,34.8/0.9,,,,,-99,-99,-99,-99
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,-0.3,6360.6,,33.4,,,14.9,59.4,18.6,73.6/81.6,,,,,,,1.8,57.4,1.3,2.9,66.1/59.8,31.4/6.4,160.6/7.1,,,,,...,105.8/109.4,.../...,27.7/19.2
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,,22.7,,,21.5,63.2,12.4,56.0/78.2,,,,,,,0.9,85.7,1.2,1.8,78.4/71.0,21.7/12.6,713.6/0.3,,,,,6,113.8/116.8,102.2/97.2,59.3/42.4
British Virgin Islands,Caribbean,151,31,208,97.1,908,-1.1,30144.5,,11.1,,,...,...,-99,-99,,,,,,,2,46.2,1.8,...,.../...,.../...,17.3/57.5,,,,,6.6,-99,-99,-99
