country,Region,Surface.area..km2.,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Industry (% of GVA),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Total Smoking Rate
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112,27.4,29,67.3,7.2,0.798270893,-0.3,67.5,-0.4,1.6,0.633204633,13.13636364,5.5,1.002034588,0.992214533,1.530685921,33.05
Ethiopia,EasternAfrica,1104300,104957,105,99.7,59917,9.6,602.8,16,8.4,21.1,5.7,0.865319865,2.6,19.5,4.9,4.6,7.660377358,975.3636364,4.5,0.909260992,0.95821727,0.486238532,4.7
Fiji,Melanesia,18272,906,49.6,103.1,4391,3.6,4921.9,18.1,2.9,75.8,7.7,0.519662921,0.7,53.7,1.5,2.6,2.878787879,9.2,3.9,0.991509434,1.107947805,NA,25.55
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,26.8,22,73.8,8.9,0.883306321,0.4,84.2,0.5,1.8,0.589928058,55.42105263,7.2,0.997050147,1.094537815,1.20554855,20.85
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,19.5,20.5,76.8,9.8,0.846801347,0.4,79.5,0.8,2,0.704280156,643.338843,5.5,0.993377483,1.009990917,1.226252159,27.7
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,24.1,11.2,44.1,11.4,0.732911392,-1.4,53.6,-0.1,2,0.923076923,40.19047619,2,1.023376623,1.001930502,1.219387755,31.7
Germany,WesternEurope,357376,82114,235.6,97,3363600,1.7,41686.2,30.5,27.5,71.2,4.2,0.824508321,0.2,75.3,0.2,1.4,0.467857143,805.7516779,5,0.995247148,0.943181818,0.958393113,30.35
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,26.9,14.2,43.8,5.9,0.960659898,2.4,54,3.4,4.2,7.264150943,266.3333333,6.2,1.01304753,0.968304279,0.691099476,6.75
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788,15.7,15,72.1,23,0.733777038,-0.4,78,0.5,1.3,0.535849057,109.9557522,NA,0.98980632,0.944292237,0.997368421,42.65
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,38.2,12.6,40.6,12.9,0.864714086,1.4,58.6,3.8,3.1,4.520547945,98.75,-99,NA,NA,NA,12.3
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,25.1,21.6,49,5.6,0.563313609,1.8,54.7,3.1,2.6,4.514285714,93.66666667,5.9,0.989218329,1.188271605,1.35106383,17.7
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,31.9,29.8,65.9,4.5,0.746794872,-0.3,71.2,0.5,1.3,0.55,97.73913043,4.7,0.994111874,1.00190295,1.251655629,28.4
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936,24,17.7,78.2,3.6,0.910621762,0.6,94.1,1.3,2,1,3.289473684,7.8,0.988966901,1.040412726,1.712624585,16.05
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,29.7,24.5,31.2,3.4,0.341340076,1.2,32.7,2.4,2.4,2.957446809,13102.5,3.8,1.119649805,1.013605442,0.988888889,11.15
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,41.3,22.4,46.2,5.8,0.609318996,1.2,53.7,2.7,2.4,3.186046512,3288,3.6,0.973880597,1.003500583,1.122270742,39.9
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,41.7,17.7,77.4,7.6,0.773472429,0.3,63.2,1.6,2,1.130890052,46.93710692,5.3,1.010901883,1.030254777,1.093632959,22.15
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,21.2,17.9,81,5.9,0.847826087,1.6,92.1,1.4,3,1.732919255,80.79116466,5.8,1.006704981,1.009803922,1.382783883,30.25
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,23.5,27.1,69.4,11.4,0.678200692,-0.1,69,0.4,1.4,0.459183673,596.7938144,4.1,0.992110454,0.976945245,1.357142857,24
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,22.3,15.3,66.8,13.1,0.799174691,0.4,54.8,0.9,2.1,1.669117647,29,5.5,NA,1.074494949,1.721393035,17.9
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,26.4,26.5,69.8,3,0.701578192,-0.1,93.5,0.6,1.4,0.386227545,1277.4375,3.6,0.999012833,1.002952756,0.926940639,22.15
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,27.7,17.8,80.2,13.4,0.224806202,4.9,83.7,3.8,3.6,6.228070175,75.90243902,-99,1.005149331,1.057356608,1.112941176,40.45
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,32.5,20.4,61.6,5.6,0.855483871,1.6,53.2,0.9,2.7,2.513513514,176.4577114,2.8,1.002757353,1.026220615,1.239130435,26.6
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,19,8.6,29.5,10.8,0.861878453,2.7,25.6,4.3,4.1,9.418604651,451.8333333,5.3,0.994510522,NA,NA,13.35
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,1442.9,13.6,NA,NA,NA,NA,1.8,44.3,1.8,3.8,5.46875,1.142857143,NA,1.031098154,NA,NA,52.4
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,25.9,21,49.8,7.7,0.641290323,1.6,35.7,1.6,3.1,4.184210526,60.11764706,5.5,0.989805375,1.015317287,1.306372549,27
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,13704.1,23.3,23,69.7,9.6,0.805022157,-1.2,67.4,-0.7,1.5,0.58778626,19.63432836,5.3,0.991008991,0.993327773,1.427027027,36.6
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,19.6,22.4,69.4,7,0.337110482,6,87.8,3.2,1.7,1.925,58.58651026,2.6,0.914078675,0.991869919,1.156962025,38.2
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,31.3,20,40.3,27.5,0.800268097,1.3,27.3,3,3.3,5.28358209,22,NA,0.971962617,1.356673961,1.4625,27.75
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,11.4,11.7,43,4.1,0.903276131,2.6,49.7,3.4,4.8,8.530612245,45.52,2.8,0.904568528,0.775656325,0.633802817,15
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,29.8,24.5,66.8,9.2,0.818456884,-1.3,66.5,-0.5,1.6,0.584980237,28.93617021,4.6,1.004844961,0.961922031,1.46953405,30.15
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,100160.8,12.1,10.2,88.5,5.6,0.79389313,2.2,90.2,1.7,1.5,0.836734694,5.665909091,4.1,1.004127967,1.023738872,1.137362637,23.6
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,16.6,4.8,25.4,6.8,1.003703704,2.9,16.3,3.8,4.9,10.23255814,179.3333333,5.6,1.020833333,0.895196507,0.6,15.7
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,39.6,27.3,60.9,3.3,0.633676093,1.8,74.7,2.7,2.1,2.505154639,302.9156627,5,1.001966568,1.081769437,1.528846154,22.2
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,19.6,14.7,28.6,8.1,0.613608748,2.9,39.9,5.1,6.4,11.925,172.9047619,3.7,0.909205549,0.807017544,0.427083333,20
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,15,20.9,77.9,5.4,0.599695586,0.5,95.4,0.5,1.4,0.551724138,4.181818182,7.8,1.02446184,1.069792803,1.369727047,24.95
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,41.7,9.5,50.2,12,0.447328244,2.9,59.9,3.5,4.9,7.98,40.64705882,2.9,1.05,0.930599369,0.507042254,23.85
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,9040.9,22.7,25.2,67.5,7.6,0.631224764,0.2,39.7,-0.1,1.5,1.108433735,13,4.9,1.016634051,1.045940171,1.315457413,21.7
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,36,25.2,61.3,4.1,0.572327044,1.4,79.2,1.6,2.3,2.643564356,1325.777778,5.3,0.996138996,1.06613455,1.003344482,13.7
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,34.1,20.7,51,6.3,0.81962482,1.9,72,2.8,2.8,4.5,29.33333333,4.6,0.982318271,1.020994475,1.381282496,26.5
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,28.9,20.7,46.8,10.4,0.343624161,1.4,60.2,2.3,2.6,2.560747664,295,NA,0.948173322,0.853494624,0.958188153,23.4
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,21,4.1,21,24.1,1.087301587,2.9,32.2,3.3,5.4,9.333333333,278.625,6.5,0.916666667,0.920118343,0.72972973,18.65
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,34.5,14.6,61.7,0.8,0.92450495,0.9,34.1,2.5,2.3,2.85106383,733,-99,0.973267327,1.027667984,1.231404959,19
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,30.6,14.6,56.3,24.9,0.877138414,2.2,46.7,4.2,3.6,6.672727273,24.71052632,NA,0.966460724,NA,NA,25.15
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,59.9,-99,-99,23,0.624841572,2.3,100,0.2,3.9,9.875,0.102893891,-99,0.916894977,1.018315018,NA,47.5
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,14.9,10.9,16.5,3,0.919261822,1.2,18.6,3.2,2.3,3.511363636,287.9444444,3.7,1.080336649,1.076005961,1.02027027,24.1
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,20,15.9,81.9,5.6,0.822094692,0.3,90.5,1,1.7,0.656,169.1880342,5.5,0.994285714,1.011878248,1.104417671,25.05
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,19.1,14.4,23.3,2.7,0.452914798,3.8,18.7,5.1,7.4,11.95238095,189.3,6.7,0.857509628,0.710743802,0.346153846,9.4
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.4,14.7,57.4,5.4,0.754276827,2.7,47.8,4.7,5.7,9.777777778,1713,-99,0.982010582,0.925605536,0.703389831,9.25
Niue,Polynesia,260,2,6.2,100,-99,-99,-99,-99,NA,NA,NA,NA,-0.1,42.5,-0.9,2.6,1.134328358,0.01734104,-99,0.816576087,1.096061479,NA,15.85
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,34.6,20.2,77.6,5.1,0.894582723,1.2,80.5,1.3,1.8,0.798206278,52.23943662,7.4,0.99800995,0.968613775,1.457006369,22.25
Oman,WesternAsia,309500,4636,15,192.8,69832,5.7,15550.8,51.1,39.6,55.4,17.8,0.352459016,6.5,77.6,8.5,2.9,5.45,44.89051095,5,1.03538175,1.068316832,NA,11
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,19,19.8,38.1,5.9,0.300606061,2.1,38.8,2.8,3.7,5.194029851,1910,2.6,0.854563691,0.791919192,0.867924528,22.45
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,27.1,19.6,65.9,6.2,0.628109453,1.7,66.6,2.1,2.6,2.403508772,39.29787234,3.2,0.974879227,1.074074074,1.490384615,6.6
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,29.5,19.5,61,5.5,0.688311688,1.3,59.7,2.1,2.6,3.127659574,65.20833333,5,0.969330855,1.066037736,NA,18.1
Philippines,South-easternAsia,3.00E+05,104918,351.9,101.3,292449,5.9,2904.2,31.3,16.3,56.1,5.9,0.643852978,1.6,44.4,1.3,3,4.171052632,1059.5,NA,1.000856164,1.098341232,1.28343949,25.75
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,34.1,29.6,59.5,5.3,0.756548536,NA,60.5,-0.1,1.3,0.616666667,387.125,4.9,1.00199005,0.964545455,1.52398524,28.05
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,22.3,23.8,68.2,10.5,0.836734694,-0.4,63.5,1,1.3,0.487455197,103.3703704,5.1,0.962522852,0.969421488,1.132758621,22.6
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,34.9,27.7,46.8,7.1,0.733333333,-0.6,54.6,NA,1.5,0.614457831,189.0833333,3.1,0.983425414,0.994594595,1.234309623,29.8
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006,24.2,14.8,79.8,6.5,0.400343643,0.8,19.1,-0.2,4.2,4.305882353,1.884615385,NA,1,1.109045849,NA,29.95
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,46,22.7,71.4,5.5,0.25477707,2.8,83.1,2.1,2.7,4.5,315.3529412,NA,1.02965709,0.764274062,0.959627329,15.4
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,24.1,20.7,27.9,9.3,0.642553191,3,43.7,3.6,5,9.127659574,154.8235294,7.4,1.119845361,0.978087649,0.604651163,12.05
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,31.4,24.5,56.1,15.5,0.724540902,-0.4,55.6,-0.3,1.6,0.673469388,88.72527473,4.2,0.997044335,1.014583333,1.332669323,41.65
Seychelles,EasternAfrica,457,95,206,97.2,1363,6.8,14133.2,13.6,17.9,78.2,4.1,0.906295754,0.5,53.9,1.1,2.4,1.669172932,0.962406015,3.6,1.024727992,1.072335025,2.107526882,25.9
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,17.6,6.5,25.5,3.1,0.94622093,2.3,39.9,2.7,4.8,10.02380952,65.14285714,2.7,1.009448819,0.862365591,NA,36
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,26.4,17,82.6,2,0.759526938,1.7,100,2,1.2,0.769230769,56.02643172,2.9,NA,NA,NA,16.5
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,34.8,34.5,62.2,9.9,0.755882353,0.1,53.6,-0.3,1.4,0.706422018,53.6969697,4.2,0.99001996,1.007600434,1.545454545,28.65
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,32.7,29.6,61.5,8.1,0.832797428,0.3,49.7,0.1,1.6,0.570342205,20.70175439,5.5,1.002016129,0.997292419,1.444281525,20.2
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,28.9,26.2,67.7,26,0.759410802,1.4,64.8,1.6,2.6,3.452380952,541.8103448,6,0.952054795,1.267045455,1.484076433,18.95
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,23.6,19.2,76.8,18.3,0.81152648,-0.2,79.6,0.7,1.3,0.581027668,460.8661417,4.3,1.010526316,0.996923077,1.176969697,29.2
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,30.7,25.9,46.6,5.2,0.405333333,0.5,18.4,0.8,2.1,1.610738255,193.5,2.2,0.979552093,1.046153846,1.538461538,14.4
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,42.1,17,61,25.1,0.623655914,1.8,21.3,1.3,3.3,7.75,12.64,7,0.919148936,0.993957704,1.057692308,10.6
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,26.3,18.2,79.9,7.3,0.892647059,0.8,85.8,0.8,1.9,0.68627451,97.60714286,7.7,1.04145937,1.140684411,1.526209677,20.6
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,25.5,20.4,76.1,4.6,0.838926174,1.2,73.9,1.1,1.5,0.618257261,82.94897959,5.1,0.997118156,0.965048544,1.028119508,23.3
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,35.7,22.7,43.3,0.6,0.785714286,0.4,50.4,3,1.5,1.023668639,674.7068966,4.1,0.934967012,0.94494721,1.414814815,21.85
Tonga,Polynesia,747,108,150,100.7,402,3.8,3784.5,21.5,28.2,38.5,4.8,0.715832206,0.4,23.7,0.7,3.8,4.211764706,1.055555556,NA,0.989871087,1.090277778,NA,30.15
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,26.4,27.5,52.9,10.8,0.425770308,1.6,73.4,2,2.1,2.083333333,780.2368421,4.8,0.993190661,0.973988439,0.874257426,25.95
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,21.5,7.4,20.5,2.4,0.938426454,3.4,16.1,5.4,5.9,14.45454545,394.4736842,2.2,1.018365473,0.909465021,0.777777778,9.65
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,26.3,24.6,59.7,8.8,0.774814815,-0.5,69.7,-0.3,1.5,0.668103448,447.6759259,5.9,1.022373541,0.98003992,1.155555556,31.7
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,19.4,18.4,80.4,5,0.83090379,0.6,82.6,0.9,1.9,0.740585774,647.2045455,5.7,0.997232472,1.040702314,1.308163265,19.15
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,1,15573.8,28,20.5,70.8,8.8,0.72870249,0.3,95.3,0.5,2,1.082051282,34.19047619,4.4,0.97723133,1.107419712,NA,23.05
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,2308.3,32.9,23.9,47.1,8.9,0.633159269,1.6,36.4,1.4,2.4,3.684210526,300.2307692,-99,0.977272727,0.982438017,0.645454545,13.1
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,32.3,9.9,35.3,7.4,0.864029666,3,40.9,4.3,5.2,12.10810811,159.875,NA,1.006776379,NA,0.755555556,15.55
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,30.5,7.3,25.2,5,0.891428571,2.3,32.4,2.3,4,9.80952381,153.4230769,8.4,0.983134921,0.979209979,0.898876404,16.65
